gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
257850,Hyper Light Drifter,game,19.99,2016-03-31 00:00:00,85,0,0,257850,275,"500,000 .. 1,000,000",No,750000
257870,Eschalon: Book III,game,14.99,2014-02-14 00:00:00,67,0,0,257870,0,"20,000 .. 50,000",No,35000
257990,Oozi: Earth Adventure,game,4.99,2013-12-05 00:00:00,66,0,0,257990,194,"50,000 .. 100,000",No,75000
258010,Ring Runner: Flight of the Sages,game,9.99,2013-11-19 00:00:00,75,0,1,258010,231,"100,000 .. 200,000",No,150000
258050,Survivor Squad,game,8.99,2015-01-21 00:00:00,-1,0,1,258050,134,"100,000 .. 200,000",No,150000
258070,Probability 0,game,6.99,2014-06-12 00:00:00,-1,0,0,258070,0,"20,000 .. 50,000",No,35000
258180,Deus Ex: The Fall,game,9.99,2014-03-17 00:00:00,45,17,0,258180,81,"500,000 .. 1,000,000",No,750000
258200,Talisman: Prologue,game,6.99,2013-10-14 00:00:00,-1,0,0,258200,231,"200,000 .. 500,000",No,250000
258220,Blood Knights,game,14.99,2013-11-13 00:00:00,-1,0,0,258220,773,"50,000 .. 100,000",No,75000
258520,The Vanishing of Ethan Carter,game,19.99,2014-09-25 00:00:00,82,0,0,258520,185,"500,000 .. 1,000,000",No,750000
258590,Adventure Time: Finn and Jake's Epic Quest,game,9.99,2014-04-11 00:00:00,-1,0,0,258590,0,"20,000 .. 50,000",No,35000
258760,Scania Truck Driving Simulator,game,11.99,2014-02-27 00:00:00,-1,0,0,258760,330,"500,000 .. 1,000,000",No,750000
258880,Professional Farmer 2014,game,14.99,2013-11-27 00:00:00,-1,0,0,258880,967,"100,000 .. 200,000",No,150000
258890,Type:Rider,game,4.99,2013-11-06 00:00:00,-1,0,0,258890,0,"100,000 .. 200,000",No,150000
258910,Citizens of Earth,game,14.99,2015-01-20 00:00:00,66,0,0,258910,529,"100,000 .. 200,000",No,150000
258950,Montague's Mount,game,9.99,2013-11-19 00:00:00,39,0,0,258950,125,"20,000 .. 50,000",No,35000
258970,Gauntlet™ Slayer Edition,game,19.99,2014-09-23 00:00:00,-1,0,1,258970,152,"500,000 .. 1,000,000",No,750000
259060,Dominions 4: Thrones of Ascension,game,34.99,2013-12-05 00:00:00,-1,0,1,259060,74,"50,000 .. 100,000",No,75000
259080,Just Cause 2: Multiplayer Mod,game,0.0,2013-12-16 00:00:00,-1,17,1,259080,431,"1,000,000 .. 2,000,000",No,150000
259130,Wasteland 1 - The Original Classic,game,5.99,2013-11-13 00:00:00,-1,0,0,259130,82,"500,000 .. 1,000,000",No,750000
259170,Alone in the Dark,game,9.99,2013-10-29 00:00:00,55,17,0,259170,86,"50,000 .. 100,000",No,75000
259190,Alone in the Dark: The New Nightmare,game,6.99,2013-10-29 00:00:00,66,17,0,259190,6,"20,000 .. 50,000",No,35000
259320,Heli Heroes,game,4.99,2013-11-01 00:00:00,-1,0,0,259320,282,"200,000 .. 500,000",No,250000
259340,Chicken Shoot Gold,game,6.99,2003-11-01 00:00:00,-1,0,1,259340,326,"100,000 .. 200,000",No,150000
259390,Ballpoint Universe - Infinite,game,3.99,2013-12-17 00:00:00,-1,0,0,259390,504,"100,000 .. 200,000",No,150000
259410,Sneaky Sneaky,game,4.99,2014-11-12 00:00:00,63,0,0,259410,82,"0 .. 20,000",No,10000
259450,Drifter,game,11.99,2014-03-04 00:00:00,-1,0,0,259450,0,"0 .. 20,000",No,10000
259470,Particulars,game,14.99,2014-11-19 00:00:00,74,0,0,259470,206,"20,000 .. 50,000",No,35000
259510,Shufflepuck Cantina Deluxe,game,9.99,2013-12-06 00:00:00,-1,0,0,259510,346,"100,000 .. 200,000",No,150000
259530,Savant - Ascent,game,1.99,2013-12-04 00:00:00,-1,0,0,259530,209,"200,000 .. 500,000",No,250000
259550,Hero of the Kingdom,game,5.99,2013-11-14 00:00:00,-1,0,0,259550,306,"100,000 .. 200,000",No,150000
259570,EDEN STAR,game,19.99,2015-01-30 00:00:00,-1,0,1,259570,195,"20,000 .. 50,000",No,35000
259600,Finding Teddy,game,6.99,2013-12-03 00:00:00,-1,0,0,259600,139,"100,000 .. 200,000",No,150000
259620,3079 -- Block Action RPG,game,4.99,2013-11-14 00:00:00,-1,0,1,259620,204,"50,000 .. 100,000",No,75000
259660,Void Destroyer,game,14.99,2015-01-20 00:00:00,-1,0,0,259660,9,"50,000 .. 100,000",No,75000
259680,Tales of Maj'Eyal,game,6.99,2013-12-12 00:00:00,-1,0,0,259680,7117,"200,000 .. 500,000",No,250000
259720,Fading Hearts,game,14.99,2014-02-05 00:00:00,-1,0,0,259720,0,"0 .. 20,000",No,10000
259740,Nightmares from the Deep: The Cursed Heart,game,9.99,2014-02-05 00:00:00,-1,0,0,259740,61,"100,000 .. 200,000",No,150000
259810,Home Sheep Home 2,game,9.99,2014-02-17 00:00:00,-1,0,0,259810,13,"0 .. 20,000",No,10000
259830,Wooden Sen'SeY,game,9.99,2013-12-05 00:00:00,-1,0,0,259830,121,"20,000 .. 50,000",No,35000
259870,OMG Zombies!,game,4.99,2014-02-13 00:00:00,-1,0,0,259870,422,"20,000 .. 50,000",No,35000
259890,Agricultural Simulator: Historical Farming,game,9.99,2013-11-06 00:00:00,-1,0,0,259890,191,"50,000 .. 100,000",No,75000
259910,Farming Giant,game,9.99,2013-11-06 00:00:00,-1,0,0,259910,20,"20,000 .. 50,000",No,35000
259940,YOU DON'T KNOW JACK Vol. 2,game,2.99,2013-11-05 00:00:00,-1,0,1,259940,0,"50,000 .. 100,000",No,75000
259960,YOU DON'T KNOW JACK Vol. 3,game,2.99,2013-11-05 00:00:00,-1,0,1,259960,0,"50,000 .. 100,000",No,75000
259980,YOU DON'T KNOW JACK Vol. 4 The Ride,game,2.99,2013-11-05 00:00:00,-1,0,1,259980,0,"20,000 .. 50,000",No,35000
260000,YOU DON'T KNOW JACK MOVIES,game,2.99,2013-11-05 00:00:00,-1,0,1,260000,0,"50,000 .. 100,000",No,75000
260020,YOU DON'T KNOW JACK SPORTS,game,2.99,2013-11-05 00:00:00,-1,0,1,260020,0,"50,000 .. 100,000",No,75000
260040,YOU DON'T KNOW JACK TELEVISION,game,2.99,2013-11-05 00:00:00,-1,0,1,260040,0,"50,000 .. 100,000",No,75000
260060,YOU DON'T KNOW JACK HEADRUSH,game,2.99,2013-11-05 00:00:00,-1,0,1,260060,0,"50,000 .. 100,000",No,75000
260080,YOU DON'T KNOW JACK Vol. 6 The Lost Gold,game,1.99,2013-11-05 00:00:00,-1,0,1,260080,0,"20,000 .. 50,000",No,35000
260160,The Last Tinker™: City of Colors,game,19.99,2014-05-12 00:00:00,72,0,0,260160,0,"50,000 .. 100,000",No,75000
260190,Marc Eck?'s Getting Up: Contents Under Pressure,game,14.99,2013-12-13 00:00:00,69,0,0,260190,0,"50,000 .. 100,000",No,75000
260210,Assassin’s Creed® Liberation HD,game,19.99,2014-01-15 00:00:00,-1,17,0,260210,934,"100,000 .. 200,000",No,150000
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,game,14.99,2014-06-25 00:00:00,-1,0,0,260230,509,"200,000 .. 500,000",No,250000
260250,Blood of the Werewolf,game,1.99,2013-10-28 00:00:00,65,0,0,260250,205,"50,000 .. 100,000",No,75000
260270,Shadows: Price For Our Sins Bonus Edition,game,9.99,2013-10-24 00:00:00,-1,0,0,260270,0,"50,000 .. 100,000",No,75000
260330,Flockers™,game,19.99,2014-09-19 00:00:00,66,13,0,260330,0,"20,000 .. 50,000",No,35000
260380,Ninja Cats vs Samurai Dogs,game,4.99,2014-02-21 00:00:00,-1,0,0,260380,0,"0 .. 20,000",No,10000
260410,Get Off My Lawn!,game,0.0,2014-11-11 00:00:00,-1,0,0,260410,7,"200,000 .. 500,000",No,250000
260430,The Four Kings Casino and Slots,game,0.0,2015-06-01 00:00:00,-1,0,1,260430,388,"200,000 .. 500,000",No,250000
260530,So Many Me,game,14.99,2014-07-17 00:00:00,78,0,0,260530,0,"0 .. 20,000",No,10000
260550,Haunted,game,14.99,2014-08-18 00:00:00,76,0,0,260550,753,"20,000 .. 50,000",No,35000
260570,Gray Matter,game,9.99,2014-04-01 00:00:00,72,0,0,260570,0,"50,000 .. 100,000",No,75000
260650,Cold War,game,4.99,2014-01-08 00:00:00,64,0,0,260650,0,"20,000 .. 50,000",No,35000
260690,Dark Fall: The Journal,game,4.99,2013-12-03 00:00:00,68,0,0,260690,0,"50,000 .. 100,000",No,75000
260710,Dark Fall 2: Lights Out,game,4.99,2013-12-03 00:00:00,66,0,0,260710,0,"50,000 .. 100,000",No,75000
260730,Desperados: Wanted Dead or Alive,game,4.99,2013-11-20 00:00:00,78,0,0,260730,0,"100,000 .. 200,000",No,150000
260750,Neighbours from Hell Compilation,game,9.99,2013-11-07 00:00:00,69,0,0,260750,170,"200,000 .. 500,000",No,250000
260790,1001 Spikes,game,14.99,2014-06-03 00:00:00,80,0,1,260790,214,"50,000 .. 100,000",No,75000
261110,Killer is Dead - Nightmare Edition,game,19.99,2014-05-23 00:00:00,-1,0,0,261110,278,"1,000,000 .. 2,000,000",No,150000
261180,Lethal League,game,13.99,2014-08-27 00:00:00,82,0,1,261180,258,"500,000 .. 1,000,000",No,750000
261350,Steam Bandits: Outpost,game,19.99,2014-01-14 00:00:00,-1,0,1,261350,0,"0 .. 20,000",No,10000
261470,Distant Worlds: Universe,game,59.99,2014-05-23 00:00:00,81,0,0,261470,209,"50,000 .. 100,000",No,75000
261490,Bedlam,game,12.99,2015-10-13 00:00:00,54,0,0,261490,150,"100,000 .. 200,000",No,150000
261510,Tesla Effect: A Tex Murphy Adventure,game,19.99,2014-05-08 00:00:00,68,0,0,261510,82,"200,000 .. 500,000",No,250000
261530,Lifeless Planet Premier Edition,game,19.99,2014-06-06 00:00:00,59,0,0,261530,0,"100,000 .. 200,000",No,150000
261640,Borderlands: The Pre-Sequel,game,39.99,2014-10-13 00:00:00,75,17,0,261640,1661,"2,000,000 .. 5,000,000",No,3500000
261680,Journal,game,9.99,2014-02-17 00:00:00,59,0,0,261680,0,"20,000 .. 50,000",No,35000
261700,Eryi's Action,game,4.99,2013-11-19 00:00:00,-1,0,0,261700,159,"50,000 .. 100,000",No,75000
261720,Holy Avatar vs. Maidens of the Dead,game,9.99,2014-02-20 00:00:00,-1,0,0,261720,0,"50,000 .. 100,000",No,75000
261740,Humans Must Answer,game,5.99,2014-01-16 00:00:00,55,0,0,261740,0,"0 .. 20,000",No,10000
261760,Lichdom: Battlemage,game,39.99,2014-08-26 00:00:00,69,0,0,261760,351,"100,000 .. 200,000",No,150000
261880,Corporate Lifestyle Simulator,game,4.99,2014-03-12 00:00:00,-1,0,0,261880,0,"100,000 .. 200,000",No,150000
261920,Catzilla 4K - Advanced,game,14.99,2014-02-28 00:00:00,-1,0,0,261920,0,"0 .. 20,000",No,10000
261940,The Mysterious Cities of Gold,game,11.99,2013-11-20 00:00:00,-1,0,0,261940,0,"20,000 .. 50,000",No,35000
261960,Cube & Star: An Arbitrary Love,game,4.99,2014-02-14 00:00:00,-1,0,0,261960,0,"20,000 .. 50,000",No,35000
262000,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,game,19.99,2014-10-15 00:00:00,74,0,0,262000,305,"50,000 .. 100,000",No,75000
262060,Darkest Dungeon,game,24.99,2016-01-19 00:00:00,84,0,0,262060,1121,"2,000,000 .. 5,000,000",No,3500000
262080,Iron Soul,game,4.99,2014-02-26 00:00:00,-1,0,0,262080,0,"0 .. 20,000",No,10000
262100,Trench Run,game,7.99,2016-04-07 00:00:00,-1,0,1,262100,0,"0 .. 20,000",No,10000
262120,Toy Soldiers: Complete,game,14.99,2016-02-17 00:00:00,-1,0,1,262120,57,"50,000 .. 100,000",No,75000
262210,Last Knight: Rogue Rider Edition,game,7.99,2014-10-03 00:00:00,-1,0,0,262210,105,"20,000 .. 50,000",No,35000
262240,SUGURI,game,5.99,2014-07-01 00:00:00,-1,0,0,262240,308,"20,000 .. 50,000",No,35000
262260,Jets'n'Guns Gold,game,6.99,2014-02-05 00:00:00,-1,0,0,262260,5,"50,000 .. 100,000",No,75000
262280,Dungeons 2,game,39.99,2015-04-24 00:00:00,70,0,1,262280,282,"1,000,000 .. 2,000,000",No,150000
262390,Cloudbuilt,game,19.99,2014-03-20 00:00:00,72,0,0,262390,171,"100,000 .. 200,000",No,150000
262410,World of Guns: Gun Disassembly,game,0.0,2014-05-21 00:00:00,-1,0,0,262410,99,"2,000,000 .. 5,000,000",No,3500000
262450,Dead Man's Draw,game,6.99,2014-02-06 00:00:00,-1,0,0,262450,0,"20,000 .. 50,000",No,35000
262470,Rollers of the Realm,game,9.99,2014-11-18 00:00:00,68,0,0,262470,172,"100,000 .. 200,000",No,150000
262550,Gunman Clive,game,1.99,2014-01-03 00:00:00,-1,0,0,262550,31,"50,000 .. 100,000",No,75000
262590,Chuck's Challenge 3D,game,3.99,2014-02-28 00:00:00,-1,0,0,262590,0,"0 .. 20,000",No,10000
262610,Liquid Rhythm,game,2.99,2014-03-28 00:00:00,-1,0,0,262610,0,"0 .. 20,000",No,10000
262630,Tom vs. The Armies of Hell,game,9.99,2015-02-09 00:00:00,-1,0,0,262630,0,"0 .. 20,000",No,10000
262690,Little Racers STREET,game,7.99,2014-02-06 00:00:00,-1,0,1,262690,0,"100,000 .. 200,000",No,150000
262750,GoD Factory: Wingmen,game,19.99,2014-08-29 00:00:00,76,0,1,262750,810,"20,000 .. 50,000",No,35000
262770,Freedom Fall,game,9.99,2014-01-10 00:00:00,-1,0,0,262770,75,"20,000 .. 50,000",No,35000
262790,Our Darker Purpose,game,14.99,2014-01-29 00:00:00,74,0,0,262790,0,"50,000 .. 100,000",No,75000
262830,Crimsonland,game,13.99,2014-06-11 00:00:00,68,0,0,262830,376,"100,000 .. 200,000",No,150000
262850,The Journey Down: Chapter Two,game,10.99,2014-08-25 00:00:00,78,0,0,262850,282,"100,000 .. 200,000",No,150000
262870,Recovery Search & Rescue Simulation,game,14.99,2014-01-09 00:00:00,-1,0,0,262870,0,"20,000 .. 50,000",No,35000
262900,Smooth Operators,game,2.99,2014-06-10 00:00:00,-1,0,0,262900,0,"20,000 .. 50,000",No,35000
262920,Super Chain Crusher Horizon,game,14.99,2014-09-01 00:00:00,-1,0,0,262920,202,"20,000 .. 50,000",No,35000
262940,Broken Sword 5 - the Serpent's Curse,game,24.99,2013-12-04 00:00:00,-1,0,0,262940,184,"200,000 .. 500,000",No,250000
262960,Castle In The Darkness,game,9.99,2015-02-05 00:00:00,76,0,0,262960,862,"50,000 .. 100,000",No,75000
262980,C-RUSH,game,1.99,2014-02-17 00:00:00,-1,0,0,262980,0,"20,000 .. 50,000",No,35000
263020,STARWHAL,game,11.99,2014-09-29 00:00:00,-1,0,0,263020,407,"50,000 .. 100,000",No,75000
263040,Bot Colony,game,9.99,2014-06-16 00:00:00,-1,0,0,263040,0,"0 .. 20,000",No,10000
263060,Blockstorm,game,6.99,2015-05-21 00:00:00,-1,0,1,263060,253,"500,000 .. 1,000,000",No,750000
263080,Pixel Boy and the Ever Expanding Dungeon,game,4.99,2014-05-30 00:00:00,-1,0,0,263080,14,"20,000 .. 50,000",No,35000
263100,9.03m,game,0.99,2013-11-20 00:00:00,-1,0,0,263100,17,"20,000 .. 50,000",No,35000
263120,Ludwig,game,9.99,2014-06-06 00:00:00,-1,0,0,263120,0,"0 .. 20,000",No,10000
263140,Postmortem: One Must Die (Extended Cut),game,2.99,2013-12-03 00:00:00,-1,0,0,263140,0,"20,000 .. 50,000",No,35000
263200,Signs of Life,game,9.99,2014-01-27 00:00:00,-1,0,1,263200,0,"50,000 .. 100,000",No,75000
263280,SPINTIRES™,game,29.99,2014-06-12 00:00:00,67,0,1,263280,1922,"1,000,000 .. 2,000,000",No,150000
263300,BlazBlue: Calamity Trigger,game,9.99,2014-02-13 00:00:00,-1,0,0,263300,174,"200,000 .. 500,000",No,250000
263320,Saturday Morning RPG,game,6.99,2014-01-29 00:00:00,-1,0,0,263320,710,"100,000 .. 200,000",No,150000
263340,Continue?9876543210,game,9.99,2014-01-03 00:00:00,62,0,0,263340,0,"20,000 .. 50,000",No,35000
263360,3089 -- Futuristic Action RPG,game,6.99,2014-01-10 00:00:00,-1,0,0,263360,170,"50,000 .. 100,000",No,75000
263380,Driftmoon,game,14.99,2014-01-03 00:00:00,73,0,0,263380,0,"20,000 .. 50,000",No,35000
263400,War of the Human Tanks,game,9.99,2014-01-10 00:00:00,-1,0,0,263400,399,"50,000 .. 100,000",No,75000
263420,Probably Archery,game,4.99,2014-02-06 00:00:00,-1,0,1,263420,0,"50,000 .. 100,000",No,75000
263460,Girls Like Robots,game,6.99,2014-02-14 00:00:00,-1,0,0,263460,262,"100,000 .. 200,000",No,150000
263480,Final Rush,game,4.99,2014-11-21 00:00:00,-1,0,1,263480,0,"20,000 .. 50,000",No,35000
263500,Dragons and Titans,game,0.0,2014-03-12 00:00:00,43,0,1,263500,137,"1,000,000 .. 2,000,000",No,150000
263520,Enola,game,14.99,2014-09-18 00:00:00,-1,0,0,263520,0,"20,000 .. 50,000",No,35000
263560,Paper Sorcerer,game,4.99,2014-01-22 00:00:00,73,0,0,263560,480,"50,000 .. 100,000",No,75000
263640,CDF Ghostship,game,16.99,2015-06-26 00:00:00,-1,0,0,263640,0,"0 .. 20,000",No,10000
263680,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,game,4.99,2014-01-03 00:00:00,-1,0,0,263680,0,"20,000 .. 50,000",No,35000
263700,Muffin Knight,game,6.99,2014-05-01 00:00:00,-1,0,1,263700,5,"50,000 .. 100,000",No,75000
263740,FootLOL: Epic Fail League,game,4.99,2014-04-16 00:00:00,-1,0,1,263740,5,"100,000 .. 200,000",No,150000
263760,Turbo Dismount™,game,9.99,2014-05-21 00:00:00,-1,0,0,263760,295,"200,000 .. 500,000",No,250000
263800,Spaceforce Constellations,game,9.99,2013-12-12 00:00:00,-1,0,0,263800,0,"0 .. 20,000",No,10000
263820,EvilQuest,game,1.99,2014-02-20 00:00:00,-1,0,0,263820,74,"50,000 .. 100,000",No,75000
263860,SPACECOM,game,9.99,2014-09-17 00:00:00,68,0,1,263860,139,"100,000 .. 200,000",No,150000
263880,Aqua Kitty - Milk Mine Defender,game,6.99,2014-02-03 00:00:00,-1,0,0,263880,37,"20,000 .. 50,000",No,35000
263920,Zombie Grinder,game,8.99,2015-10-16 00:00:00,-1,0,1,263920,0,"0 .. 20,000",No,10000
263940,Red Baron Pack,game,9.99,2016-01-07 00:00:00,-1,0,1,263940,0,"0 .. 20,000",No,10000
263960,Wyv and Keep: The Temple of the Lost Idol,game,14.99,2014-08-08 00:00:00,-1,0,1,263960,0,"20,000 .. 50,000",No,35000
263980,Out There Somewhere,game,1.99,2016-03-14 00:00:00,-1,0,0,263980,137,"500,000 .. 1,000,000",No,750000
264000,Son of Nor,game,19.99,2015-04-27 00:00:00,54,0,1,264000,157,"20,000 .. 50,000",No,35000
264020,Geekbench 3,game,14.99,2014-03-12 00:00:00,-1,0,0,264020,0,"0 .. 20,000",No,10000
264060,Full Bore,game,14.99,2014-05-06 00:00:00,72,0,0,264060,0,"20,000 .. 50,000",No,35000
264080,Vangers,game,6.99,2014-04-24 00:00:00,-1,0,0,264080,0,"50,000 .. 100,000",No,75000
264120,Victory: The Age of Racing,game,0.0,2016-02-12 00:00:00,-1,0,1,264120,115,"200,000 .. 500,000",No,250000
264140,Pixel Piracy,game,9.99,2014-07-31 00:00:00,-1,0,0,264140,495,"500,000 .. 1,000,000",No,750000
264160,WazHack,game,9.99,2014-02-17 00:00:00,-1,0,1,264160,0,"20,000 .. 50,000",No,35000
264200,One Finger Death Punch,game,4.99,2014-03-03 00:00:00,-1,0,0,264200,149,"500,000 .. 1,000,000",No,750000
264220,Mr. Bree+,game,2.99,2014-05-01 00:00:00,-1,0,0,264220,0,"20,000 .. 50,000",No,35000
264240,CONSORTIUM,game,9.99,2014-01-08 00:00:00,-1,0,0,264240,151,"200,000 .. 500,000",No,250000
264260,Global Outbreak: Doomsday Edition,game,8.99,2014-08-11 00:00:00,-1,0,0,264260,0,"0 .. 20,000",No,10000
264280,99 Levels To Hell,game,4.99,2014-02-19 00:00:00,66,0,0,264280,157,"50,000 .. 100,000",No,75000
264300,Guns n Zombies,game,7.99,2014-10-30 00:00:00,-1,0,0,264300,64,"100,000 .. 200,000",No,150000
264320,Captain Morgane and the Golden Turtle,game,4.99,2014-01-03 00:00:00,-1,0,0,264320,0,"20,000 .. 50,000",No,35000
264340,Major Mayhem,game,4.99,2014-02-24 00:00:00,-1,0,0,264340,250,"20,000 .. 50,000",No,35000
264400,Jacob Jones and the Bigfoot Mystery : Episode 1,game,4.99,2014-09-15 00:00:00,-1,0,0,264400,0,"0 .. 20,000",No,10000
264440,Children of Liberty,game,9.99,2014-04-18 00:00:00,-1,0,0,264440,0,"0 .. 20,000",No,10000
264460,A-Men,game,9.99,2014-01-24 00:00:00,-1,0,0,264460,0,"0 .. 20,000",No,10000
264480,BlackSoul: Extended Edition,game,6.99,2014-02-26 00:00:00,-1,0,0,264480,314,"50,000 .. 100,000",No,75000
264520,Moebius: Empire Rising,game,14.99,2014-04-15 00:00:00,54,0,0,264520,0,"20,000 .. 50,000",No,35000
264540,Platformines,game,9.99,2014-03-28 00:00:00,67,0,0,264540,679,"100,000 .. 200,000",No,150000
264560,Quest for Infamy,game,9.99,2014-07-10 00:00:00,63,0,0,264560,75,"20,000 .. 50,000",No,35000
264580,Lost Civilization,game,4.99,2014-04-15 00:00:00,-1,0,0,264580,0,"20,000 .. 50,000",No,35000
264690,Coin Crypt,game,9.99,2014-10-28 00:00:00,-1,0,0,264690,340,"100,000 .. 200,000",No,150000
264710,Subnautica,game,19.99,2014-12-16 00:00:00,-1,0,0,264710,1446,"2,000,000 .. 5,000,000",No,3500000
264730,Deadly 30,game,4.99,2014-01-08 00:00:00,-1,0,0,264730,143,"100,000 .. 200,000",No,150000
265000,FORCED SHOWDOWN,game,19.99,2016-03-29 00:00:00,71,0,0,265000,822,"50,000 .. 100,000",No,75000
265120,Meridian: New World,game,6.99,2014-09-26 00:00:00,43,0,0,265120,162,"100,000 .. 200,000",No,150000
265170,Acceleration of SUGURI X-Edition HD,game,5.99,2014-07-01 00:00:00,-1,0,1,265170,530,"20,000 .. 50,000",No,35000
265210,Viscera Cleanup Detail: Santa's Rampage,game,2.49,2013-12-13 00:00:00,-1,0,1,265210,140,"500,000 .. 1,000,000",No,750000
265240,Crazy Machines: Golden Gears,game,9.99,2014-03-27 00:00:00,-1,0,0,265240,0,"20,000 .. 50,000",No,35000
265300,Lords Of The Fallen™,game,19.99,2014-10-28 00:00:00,73,17,0,265300,456,"500,000 .. 1,000,000",No,750000
265330,Gomo,game,4.99,2013-12-06 00:00:00,50,0,0,265330,108,"100,000 .. 200,000",No,150000
265380,Grimind,game,9.99,2014-02-13 00:00:00,-1,0,0,265380,214,"100,000 .. 200,000",No,150000
265470,Even the Ocean,game,0.0,1970-01-01 00:00:00,-1,0,0,265470,0,"0 .. 20,000",No,10000
265550,Dead Rising 3 Apocalypse Edition,game,49.99,2014-09-05 00:00:00,-1,17,1,265550,596,"500,000 .. 1,000,000",No,750000
265590,The Red Solstice,game,19.99,2015-07-09 00:00:00,74,0,1,265590,243,"1,000,000 .. 2,000,000",No,150000
265610,Epic Battle Fantasy 4,game,11.99,2014-02-25 00:00:00,-1,0,0,265610,384,"200,000 .. 500,000",No,250000
265630,Fistful of Frags,game,0.0,2014-05-09 00:00:00,-1,0,1,265630,3079,"2,000,000 .. 5,000,000",No,3500000
265670,Imagine Me,game,2.99,2014-12-09 00:00:00,-1,0,0,265670,90,"50,000 .. 100,000",No,75000
265690,NaissanceE,game,14.99,2014-02-13 00:00:00,66,0,0,265690,8,"100,000 .. 200,000",No,150000
265750,Secret Ponchos,game,14.99,2015-10-13 00:00:00,-1,0,1,265750,0,"50,000 .. 100,000",No,75000
265770,Cannons Lasers Rockets,game,0.0,2014-08-25 00:00:00,-1,0,1,265770,1,"200,000 .. 500,000",No,250000
265790,Residue: Final Cut,game,4.99,2014-08-01 00:00:00,-1,0,0,265790,0,"20,000 .. 50,000",No,35000
265810,The Sandbox,game,4.99,2015-06-29 00:00:00,-1,0,0,265810,0,"20,000 .. 50,000",No,35000
265830,Monochroma,game,19.99,2014-05-28 00:00:00,-1,0,0,265830,89,"100,000 .. 200,000",No,150000
265870,Alpha Kimori™ 1,game,9.99,2014-03-17 00:00:00,-1,0,0,265870,123,"50,000 .. 100,000",No,75000
265890,Hexcells,game,2.99,2014-02-19 00:00:00,-1,0,0,265890,49,"200,000 .. 500,000",No,250000
265930,Goat Simulator,game,9.99,2014-04-01 00:00:00,62,0,0,265930,309,"2,000,000 .. 5,000,000",No,3500000
265950,Ether One,game,19.99,2014-03-25 00:00:00,82,0,0,265950,0,"50,000 .. 100,000",No,75000
265970,Worlds of Magic,game,39.99,2015-03-19 00:00:00,52,0,1,265970,0,"20,000 .. 50,000",No,35000
265990,Rogue's Tale,game,4.99,2014-03-28 00:00:00,-1,0,0,265990,0,"20,000 .. 50,000",No,35000
266010,LYNE,game,2.99,2014-03-17 00:00:00,-1,0,0,266010,176,"200,000 .. 500,000",No,250000
266030,DRAKERZ-Confrontation,game,0.0,2014-05-19 00:00:00,-1,0,1,266030,12,"100,000 .. 200,000",No,150000
266090,Starlite: Astronaut Rescue - Developed in Collaboration with NASA,game,2.99,2014-01-27 00:00:00,-1,0,0,266090,0,"0 .. 20,000",No,10000
266110,Tower of Guns,game,14.99,2014-03-04 00:00:00,76,0,0,266110,740,"200,000 .. 500,000",No,250000
266130,Breach & Clear,game,29.99,2014-03-21 00:00:00,-1,0,0,266130,67,"200,000 .. 500,000",No,250000
266150,Lost Saga NA,game,0.0,2014-11-25 00:00:00,-1,0,1,266150,27,"200,000 .. 500,000",No,250000
266170,Windforge,game,9.99,2014-03-11 00:00:00,53,0,0,266170,2075,"50,000 .. 100,000",No,75000
266190,Astral Terra,game,16.99,2015-11-10 00:00:00,-1,0,1,266190,0,"0 .. 20,000",No,10000
266210,One Way Heroics,game,3.49,2014-02-28 00:00:00,-1,0,0,266210,547,"200,000 .. 500,000",No,250000
266230,Last Dream,game,9.99,2014-03-13 00:00:00,-1,0,0,266230,0,"50,000 .. 100,000",No,75000
266250,Procyon,game,3.99,2014-02-26 00:00:00,-1,0,0,266250,0,"20,000 .. 50,000",No,35000
266270,Gridiron Solitaire,game,7.99,2014-01-21 00:00:00,-1,0,0,266270,0,"0 .. 20,000",No,10000
266290,Helicopter Simulator 2014: Search and Rescue,game,6.99,2014-02-28 00:00:00,-1,0,0,266290,15,"20,000 .. 50,000",No,35000
266310,GameGuru,game,19.99,2015-05-19 00:00:00,-1,0,1,266310,83,"200,000 .. 500,000",No,250000
266330,Ethan: Meteor Hunter,game,9.99,2014-02-07 00:00:00,-1,0,0,266330,0,"50,000 .. 100,000",No,75000
266370,Calibre 10 Racing,game,9.99,2014-03-26 00:00:00,-1,0,1,266370,0,"0 .. 20,000",No,10000
266390,Farm for your Life,game,9.99,2014-06-16 00:00:00,-1,0,0,266390,467,"50,000 .. 100,000",No,75000
266410,iRacing,game,9.99,2015-01-12 00:00:00,79,0,1,266410,4,"20,000 .. 50,000",No,35000
266430,Anarchy Arcade,game,0.0,2014-09-03 00:00:00,-1,0,1,266430,42,"500,000 .. 1,000,000",No,750000
266490,Lili: Child of Geos - Complete Edition,game,9.99,2014-05-09 00:00:00,-1,0,0,266490,0,"50,000 .. 100,000",No,75000
